상가업소번호,상호명,지점명,상권업종대분류코드,상권업종대분류명,상권업종중분류코드,상권업종중분류명,상권업종소분류코드,상권업종소분류명,표준산업분류명,시도명,시군구명,행정동명,법정동명,지번주소,도로명,도로명주소,경도,위도
MA010120220804791189,로이하우스,,I1,숙박,I101,일반 숙박,I10103,펜션,민박업,서울특별시,마포구,연남동,연남동,서울특별시 마포구 연남동 229-45,서울특별시 마포구 동교로41길,서울특별시 마포구 동교로41길 14,126.9239904,37.56307106
MA010120220804836136,모노크롬하우스그리너리룸,,I1,숙박,I101,일반 숙박,I10103,펜션,민박업,서울특별시,마포구,연남동,연남동,서울특별시 마포구 연남동 226-15,서울특별시 마포구 성미산로,서울특별시 마포구 성미산로 199,126.9270999,37.56250467
MA010120220804965858,케이더블유홍대라인,,I1,숙박,I101,일반 숙박,I10103,펜션,민박업,서울특별시,마포구,연남동,연남동,서울특별시 마포구 연남동 260-9,서울특별시 마포구 동교로,서울특별시 마포구 동교로 242-11,126.9249639,37.5614941
MA010120220805035807,저스트맨션4,,I1,숙박,I101,일반 숙박,I10103,펜션,민박업,서울특별시,마포구,연남동,연남동,서울특별시 마포구 연남동 390-35,서울특별시 마포구 동교로38길,서울특별시 마포구 동교로38길 33,126.9257221,37.561501
MA010120220804941185,게스트하우스미야,,I1,숙박,I101,일반 숙박,I10103,펜션,민박업,서울특별시,마포구,연남동,연남동,서울특별시 마포구 연남동 382-19,서울특별시 마포구 동교로38길,서울특별시 마포구 동교로38길 42,126.9256607,37.56104992
MA010120220805421844,19번가게스트하우스,,I1,숙박,I101,일반 숙박,I10103,펜션,민박업,서울특별시,마포구,연남동,연남동,서울특별시 마포구 연남동 223-19,서울특별시 마포구 성미산로,서울특별시 마포구 성미산로 163-3,126.9242562,37.56505576
MA010120220805273557,제이하우스,,I1,숙박,I101,일반 숙박,I10103,펜션,민박업,서울특별시,마포구,연남동,연남동,서울특별시 마포구 연남동 255-16,서울특별시 마포구 동교로39길,서울특별시 마포구 동교로39길 4-5,126.923763,37.56235717
MA0101202209A0085927,말랑홈,,I1,숙박,I101,일반 숙박,I10103,펜션,민박업,서울특별시,마포구,연남동,연남동,서울특별시 마포구 연남동 566-16,서울특별시 마포구 연남로1길,서울특별시 마포구 연남로1길 24-11,126.9212851,37.56072169
MA0101202209A0043204,하이스트릿게스트하우스,,I1,숙박,I101,일반 숙박,I10103,펜션,민박업,서울특별시,마포구,연남동,연남동,서울특별시 마포구 연남동 567-19,서울특별시 마포구 월드컵북로6길,서울특별시 마포구 월드컵북로6길 81-7,126.9221409,37.56024295
MA0101202301A0087265,어퍼웨스트,홍대점,I1,숙박,I102,기타 숙박,I10201,기숙사/고시원,기숙사 및 고시원 운영업,서울특별시,마포구,연남동,연남동,서울특별시 마포구 연남동 226-16,서울특별시 마포구 성미산로,서울특별시 마포구 성미산로 197,126.9269856,37.56258473
MA0101202209A0095164,말랑홈_그린,,I1,숙박,I101,일반 숙박,I10103,펜션,민박업,서울특별시,마포구,연남동,연남동,서울특별시 마포구 연남동 566-16,서울특별시 마포구 연남로1길,서울특별시 마포구 연남로1길 24-11,126.9212851,37.56072169
MA0101202209A0055191,루카하우스,,I1,숙박,I101,일반 숙박,I10103,펜션,민박업,서울특별시,마포구,연남동,연남동,서울특별시 마포구 연남동 487-410,서울특별시 마포구 월드컵북로8길,서울특별시 마포구 월드컵북로8길 23,126.918461,37.55955154
MA0101202209A0077557,올리브하우스,,I1,숙박,I101,일반 숙박,I10103,펜션,민박업,서울특별시,마포구,연남동,연남동,서울특별시 마포구 연남동 487-410,서울특별시 마포구 월드컵북로8길,서울특별시 마포구 월드컵북로8길 23,126.918461,37.55955154
MA0101202212A0085972,다슬리,,I1,숙박,I101,일반 숙박,I10103,펜션,민박업,서울특별시,마포구,연남동,연남동,서울특별시 마포구 연남동 370-5,서울특별시 마포구 연남로7길,서울특별시 마포구 연남로7길 26,126.9188541,37.56368189
MA0101202301A0073602,모던서울하우스,,I1,숙박,I101,일반 숙박,I10103,펜션,민박업,서울특별시,마포구,연남동,연남동,서울특별시 마포구 연남동 246-29,서울특별시 마포구 성미산로23길,서울특별시 마포구 성미산로23길 26-5,126.9212163,37.56470365
MA0101202212A0009056,스테이님만,,I1,숙박,I101,일반 숙박,I10103,펜션,민박업,서울특별시,마포구,연남동,연남동,서울특별시 마포구 연남동 566-13,서울특별시 마포구 연남로1길,서울특별시 마포구 연남로1길 24-3,126.9215149,37.56048051
MA0101202301A0011559,브릭하우스,,I1,숙박,I101,일반 숙박,I10102,여관/모텔,여관업,서울특별시,마포구,연남동,연남동,서울특별시 마포구 연남동 487-410,서울특별시 마포구 월드컵북로8길,서울특별시 마포구 월드컵북로8길 23,126.918461,37.55955154
MA0101202302A0060448,스테이다,,I1,숙박,I101,일반 숙박,I10103,펜션,민박업,서울특별시,마포구,연남동,연남동,서울특별시 마포구 연남동 565-8,서울특별시 마포구 연남로3길,서울특별시 마포구 연남로3길 49,126.9202062,37.56018923
MA0101202302A0036528,하우스,,I1,숙박,I101,일반 숙박,I10103,펜션,민박업,서울특별시,마포구,연남동,연남동,서울특별시 마포구 연남동 224-33,서울특별시 마포구 동교로,서울특별시 마포구 동교로 274,126.9261206,37.56370316
MA0101202302A0049063,아로마하우스,,I1,숙박,I101,일반 숙박,I10103,펜션,민박업,서울특별시,마포구,연남동,연남동,서울특별시 마포구 연남동 228-40,서울특별시 마포구 동교로,서울특별시 마포구 동교로 256,126.9248124,37.56258298
