상가업소번호,상호명,지점명,상권업종대분류코드,상권업종대분류명,상권업종중분류코드,상권업종중분류명,상권업종소분류코드,상권업종소분류명,표준산업분류명,시도명,시군구명,행정동명,법정동명,지번주소,도로명,도로명주소,경도,위도
MA010120220813257953,포레스트컴퍼니포레스트,,I2,음식,I204,서양식,I20401,경양식,서양식 음식점업,서울특별시,마포구,연남동,연남동,서울특별시 마포구 연남동 228-8,서울특별시 마포구 성미산로,서울특별시 마포구 성미산로 184,126.9258222,37.56320487
MA010120220813267990,더갓,,I2,음식,I204,서양식,I20401,경양식,서양식 음식점업,서울특별시,마포구,연남동,연남동,서울특별시 마포구 연남동 240-2,서울특별시 마포구 성미산로,서울특별시 마포구 성미산로 161-13,126.9235973,37.56522096
MA010120220813708688,슬로우캘리,,I2,음식,I204,서양식,I20401,경양식,서양식 음식점업,서울특별시,마포구,연남동,연남동,서울특별시 마포구 연남동 390-42,서울특별시 마포구 동교로38길,서울특별시 마포구 동교로38길 35,126.9257922,37.56134846
MA010120220813801953,리스본캔어리,,I2,음식,I204,서양식,I20401,경양식,서양식 음식점업,서울특별시,마포구,연남동,연남동,서울특별시 마포구 연남동 515-2,서울특별시 마포구 연남로5길,서울특별시 마포구 연남로5길 9,126.9214021,37.56202927
MA010120220813891291,파스트팔레트연남,,I2,음식,I204,서양식,I20401,경양식,서양식 음식점업,서울특별시,마포구,연남동,연남동,서울특별시 마포구 연남동 453-23,서울특별시 마포구 동교로51길,서울특별시 마포구 동교로51길 117-3,126.9205373,37.56626525
MA010120220813937827,여덟,,I2,음식,I204,서양식,I20401,경양식,서양식 음식점업,서울특별시,마포구,연남동,연남동,서울특별시 마포구 연남동 390-3,서울특별시 마포구 동교로38길,서울특별시 마포구 동교로38길 22,126.9253325,37.56183084
MA010120220813988634,이석덕생면파스타,,I2,음식,I204,서양식,I20402,파스타/스테이크,서양식 음식점업,서울특별시,마포구,연남동,연남동,서울특별시 마포구 연남동 453-9,서울특별시 마포구 동교로51길,서울특별시 마포구 동교로51길 111,126.9208312,37.56629497
MA010120220814164303,하이하우스,,I2,음식,I204,서양식,I20401,경양식,서양식 음식점업,서울특별시,마포구,연남동,연남동,서울특별시 마포구 연남동 223-14,서울특별시 마포구 성미산로,서울특별시 마포구 성미산로 161-10,126.9238573,37.56524135
MA010120220814160684,레스토랑오브편,,I2,음식,I204,서양식,I20401,경양식,서양식 음식점업,서울특별시,마포구,연남동,연남동,서울특별시 마포구 연남동 383-78,서울특별시 마포구 동교로38길,서울특별시 마포구 동교로38길 33-18,126.926338,37.56196613
MA010120220814050542,비아톨레도,,I2,음식,I204,서양식,I20401,경양식,서양식 음식점업,서울특별시,마포구,연남동,연남동,서울특별시 마포구 연남동 387-45,서울특별시 마포구 동교로46길,서울특별시 마포구 동교로46길 10,126.9252885,37.56253325
MA010120220814296241,경양카츠연남점,,I2,음식,I204,서양식,I20401,경양식,서양식 음식점업,서울특별시,마포구,연남동,연남동,서울특별시 마포구 연남동 260-29,서울특별시 마포구 동교로,서울특별시 마포구 동교로 238-1,126.9244936,37.56113841
MA010120220814302733,카페늘보,,I2,음식,I204,서양식,I20401,경양식,서양식 음식점업,서울특별시,마포구,연남동,연남동,서울특별시 마포구 연남동 223-8,서울특별시 마포구 동교로51안길,서울특별시 마포구 동교로51안길 26,126.9240145,37.56533288
MA010120220814212608,너의옆자리,,I2,음식,I204,서양식,I20401,경양식,서양식 음식점업,서울특별시,마포구,연남동,연남동,서울특별시 마포구 연남동 387-38,서울특별시 마포구 성미산로,서울특별시 마포구 성미산로 190-33,126.9257426,37.56243827
MA010120220800079876,르규옹,,I2,음식,I204,서양식,I20401,경양식,서양식 음식점업,서울특별시,마포구,연남동,연남동,서울특별시 마포구 연남동 487-23,서울특별시 마포구 성미산로17길,서울특별시 마포구 성미산로17길 109,126.9169486,37.56629545
