상가업소번호,상호명,지점명,상권업종대분류코드,상권업종대분류명,상권업종중분류코드,상권업종중분류명,상권업종소분류코드,상권업종소분류명,표준산업분류명,시도명,시군구명,행정동명,법정동명,지번주소,도로명,도로명주소,경도,위도
MA010120220803531935,네시사분,,I2,음식,I212,비알코올 ,I21201,카페,커피 전문점,서울특별시,마포구,연남동,연남동,서울특별시 마포구 연남동 387-7,서울특별시 마포구 성미산로,서울특별시 마포구 성미산로 190-8,126.9258742,37.56273681
MA010120220803721243,미라지,,I2,음식,I212,비알코올 ,I21201,카페,커피 전문점,서울특별시,마포구,연남동,연남동,서울특별시 마포구 연남동 387-13,서울특별시 마포구 동교로,서울특별시 마포구 동교로 262-6,126.9253971,37.5628496
MA010120220803712749,온오프연남,,I2,음식,I212,비알코올 ,I21201,카페,커피 전문점,서울특별시,마포구,연남동,연남동,서울특별시 마포구 연남동 453-9,서울특별시 마포구 동교로51길,서울특별시 마포구 동교로51길 111,126.9208312,37.56629497
MA010120220803669878,도쿄수플레,,I2,음식,I212,비알코올 ,I21201,카페,커피 전문점,서울특별시,마포구,연남동,연남동,서울특별시 마포구 연남동 240-3,서울특별시 마포구 성미산로,서울특별시 마포구 성미산로 161-11,126.9236663,37.56514049
MA010120220803866159,오피스오브,,I2,음식,I212,비알코올 ,I21201,카페,커피 전문점,서울특별시,마포구,연남동,연남동,서울특별시 마포구 연남동 488-7,서울특별시 마포구 성미산로,서울특별시 마포구 성미산로 107,126.918878,37.5620242
MA010120220804142859,소울메이트,,I2,음식,I212,비알코올 ,I21201,카페,커피 전문점,서울특별시,마포구,연남동,연남동,서울특별시 마포구 연남동 382-27,서울특별시 마포구 동교로38길,서울특별시 마포구 동교로38길 30,126.9254501,37.56152556
MA010120220804036292,발트,,I2,음식,I212,비알코올 ,I21201,카페,커피 전문점,서울특별시,마포구,연남동,연남동,서울특별시 마포구 연남동 387-12,서울특별시 마포구 동교로,서울특별시 마포구 동교로 262-3,126.9254857,37.56298556
MA010120220804333486,셀프사진관포테이토,,I2,음식,I212,비알코올 ,I21201,카페,커피 전문점,서울특별시,마포구,연남동,연남동,서울특별시 마포구 연남동 260-45,서울특별시 마포구 동교로34길,서울특별시 마포구 동교로34길 8,126.9247911,37.56091586
MA010120220804546755,조앤도슨,,I2,음식,I212,비알코올 ,I21201,카페,커피 전문점,서울특별시,마포구,연남동,연남동,서울특별시 마포구 연남동 254-8,서울특별시 마포구 동교로41길,서울특별시 마포구 동교로41길 31,126.9231786,37.56364032
MA010120220804537077,바나나하루키,,I2,음식,I212,비알코올 ,I21201,카페,커피 전문점,서울특별시,마포구,연남동,연남동,서울특별시 마포구 연남동 260-12,서울특별시 마포구 동교로38길,서울특별시 마포구 동교로38길 6,126.9246787,37.56164468
MA010120220804541844,씨스터브레드,,I2,음식,I212,비알코올 ,I21201,카페,커피 전문점,서울특별시,마포구,연남동,연남동,서울특별시 마포구 연남동 224-51,서울특별시 마포구 동교로52길,서울특별시 마포구 동교로52길 20-4,126.9271975,37.56359582
MA010120220804926140,어반플레이연남방앗간지점,,I2,음식,I212,비알코올 ,I21201,카페,커피 전문점,서울특별시,마포구,연남동,연남동,서울특별시 마포구 연남동 257-22,서울특별시 마포구 동교로29길,서울특별시 마포구 동교로29길 34,126.9231449,37.56204518
MA010120220804878700,일더하기이분의일,,I2,음식,I212,비알코올 ,I21201,카페,커피 전문점,서울특별시,마포구,연남동,연남동,서울특별시 마포구 연남동 561-3,서울특별시 마포구 동교로27길,서울특별시 마포구 동교로27길 80,126.9203507,37.56115466
MA010120220804896282,글로벌진시,,I2,음식,I212,비알코올 ,I21201,카페,커피 전문점,서울특별시,마포구,연남동,연남동,서울특별시 마포구 연남동 390-39,서울특별시 마포구 동교로38길,서울특별시 마포구 동교로38길 33-10,126.9261515,37.56154996
MA010120220804847575,카페클로이인패리스,,I2,음식,I212,비알코올 ,I21201,카페,커피 전문점,서울특별시,마포구,연남동,연남동,서울특별시 마포구 연남동 227-24,서울특별시 마포구 성미산로,서울특별시 마포구 성미산로 190-3,126.9261575,37.56271235
MA010120220804962945,해피어,,I2,음식,I212,비알코올 ,I21201,카페,커피 전문점,서울특별시,마포구,연남동,연남동,서울특별시 마포구 연남동 240-33,서울특별시 마포구 성미산로29안길,서울특별시 마포구 성미산로29안길 6-3,126.9229001,37.56489923
MA010120220805068897,듀윗,,I2,음식,I212,비알코올 ,I21201,카페,커피 전문점,서울특별시,마포구,연남동,연남동,서울특별시 마포구 연남동 260-14,서울특별시 마포구 동교로,서울특별시 마포구 동교로 242-5,126.9246694,37.56150944
MA010120220805065027,씨스루홍대연남점,,I2,음식,I212,비알코올 ,I21201,카페,커피 전문점,서울특별시,마포구,연남동,연남동,서울특별시 마포구 연남동 387-3,서울특별시 마포구 동교로,서울특별시 마포구 동교로 266-6,126.9255638,37.56306737
MA010120220805113178,아마레뚜띠,,I2,음식,I212,비알코올 ,I21201,카페,커피 전문점,서울특별시,마포구,연남동,연남동,서울특별시 마포구 연남동 228-21,서울특별시 마포구 동교로,서울특별시 마포구 동교로 264,126.9253494,37.56302036
MA010120220805365173,라포르엘보나바시움-랜디스도넛연남점,,I2,음식,I212,비알코올 ,I21201,카페,커피 전문점,서울특별시,마포구,연남동,연남동,서울특별시 마포구 연남동 258-3,서울특별시 마포구 동교로,서울특별시 마포구 동교로 247,126.9241526,37.56202733
MA010120220805357481,웨이즈커피,,I2,음식,I212,비알코올 ,I21201,카페,커피 전문점,서울특별시,마포구,연남동,연남동,서울특별시 마포구 연남동 383-90,서울특별시 마포구 동교로46길,서울특별시 마포구 동교로46길 42-20,126.9265434,37.56185087
MA010120220805403110,커피냅로스터스연남동,,I2,음식,I212,비알코올 ,I21201,카페,커피 전문점,서울특별시,마포구,연남동,연남동,서울특별시 마포구 연남동 453-32,서울특별시 마포구 성미산로27길,서울특별시 마포구 성미산로27길 70,126.9201955,37.5664153
MA010120220805424740,메챠,,I2,음식,I212,비알코올 ,I21201,카페,커피 전문점,서울특별시,마포구,연남동,연남동,서울특별시 마포구 연남동 487-32,서울특별시 마포구 연남로11길,서울특별시 마포구 연남로11길 34,126.9170748,37.56539557
MA0101202209A0083301,비건해봄,,I2,음식,I212,비알코올 ,I21201,카페,커피 전문점,서울특별시,마포구,연남동,연남동,서울특별시 마포구 연남동 487-439,서울특별시 마포구 성미산로15길,서울특별시 마포구 성미산로15길 72,126.9170333,37.56434999
MA0101202209A0062660,카페오르트,,I2,음식,I212,비알코올 ,I21201,카페,커피 전문점,서울특별시,마포구,연남동,연남동,서울특별시 마포구 연남동 382-1,서울특별시 마포구 동교로38길,서울특별시 마포구 동교로38길 28,126.9254258,37.56164247
MA0101202209A0011088,히포,,I2,음식,I212,비알코올 ,I21201,카페,커피 전문점,서울특별시,마포구,연남동,연남동,서울특별시 마포구 연남동 487-34,서울특별시 마포구 성미산로17길,서울특별시 마포구 성미산로17길 85,126.917202,37.56520752
MA0101202210A0092856,카멜리아,,I2,음식,I212,비알코올 ,I21201,카페,커피 전문점,서울특별시,마포구,연남동,연남동,서울특별시 마포구 연남동 229-30,서울특별시 마포구 동교로45길,서울특별시 마포구 동교로45길 8,126.9246671,37.56323941
MA0101202212A0000821,연남,,I2,음식,I212,비알코올 ,I21201,카페,커피 전문점,서울특별시,마포구,연남동,연남동,서울특별시 마포구 연남동 366-13,서울특별시 마포구 연남로7길,서울특별시 마포구 연남로7길 6,126.9198083,37.56423125
MA0101202209A0044265,대원미디어연남점,,I2,음식,I212,비알코올 ,I21201,카페,커피 전문점,서울특별시,마포구,연남동,연남동,서울특별시 마포구 연남동 223-96,서울특별시 마포구 성미산로,서울특별시 마포구 성미산로 165-7,126.924743,37.56505119
MA0101202209A0079170,타래커피연남점,,I2,음식,I212,비알코올 ,I21201,카페,커피 전문점,서울특별시,마포구,연남동,연남동,서울특별시 마포구 연남동 567-1,서울특별시 마포구 동교로27길,서울특별시 마포구 동교로27길 50,126.9213854,37.56004683
MA0101202209A0051550,아트클로버,,I2,음식,I212,비알코올 ,I21201,카페,커피 전문점,서울특별시,마포구,연남동,연남동,서울특별시 마포구 연남동 239-49,서울특별시 마포구 성미산로,서울특별시 마포구 성미산로 150,126.9232509,37.56411853
MA0101202212A0034042,카멜커피9호점,,I2,음식,I212,비알코올 ,I21201,카페,커피 전문점,서울특별시,마포구,연남동,연남동,서울특별시 마포구 연남동 453-20,서울특별시 마포구 동교로51길,서울특별시 마포구 동교로51길 111-6,126.9206056,37.56623884
MA0101202212A0003994,카페세화,,I2,음식,I212,비알코올 ,I21201,카페,커피 전문점,서울특별시,마포구,연남동,연남동,서울특별시 마포구 연남동 252-9,서울특별시 마포구 성미산로26길,서울특별시 마포구 성미산로26길 8,126.9222311,37.56340642
MA0101202301A0099899,월에버,,I2,음식,I212,비알코올 ,I21201,카페,커피 전문점,서울특별시,마포구,연남동,연남동,서울특별시 마포구 연남동 223-28,서울특별시 마포구 동교로51안길,서울특별시 마포구 동교로51안길 12,126.9248079,37.56525902
MA0101202301A0083044,하이펫푸드&카페,,I2,음식,I212,비알코올 ,I21201,카페,커피 전문점,서울특별시,마포구,연남동,연남동,서울특별시 마포구 연남동 487-291,서울특별시 마포구 성미산로,서울특별시 마포구 성미산로 96,126.9181089,37.56120622
MA0101202301A0081314,커밍,,I2,음식,I212,비알코올 ,I21201,카페,커피 전문점,서울특별시,마포구,연남동,연남동,서울특별시 마포구 연남동 504-7,서울특별시 마포구 성미산로,서울특별시 마포구 성미산로 118,126.9200619,37.56234139
MA0101202212A0057555,갱스카페,,I2,음식,I212,비알코올 ,I21201,카페,커피 전문점,서울특별시,마포구,연남동,연남동,서울특별시 마포구 연남동 567-40,서울특별시 마포구 월드컵북로6길,서울특별시 마포구 월드컵북로6길 97,126.9229179,37.56052035
MA0101202212A0042859,해피니스인어데이,,I2,음식,I212,비알코올 ,I21201,카페,커피 전문점,서울특별시,마포구,연남동,연남동,서울특별시 마포구 연남동 387-19,서울특별시 마포구 동교로46길,서울특별시 마포구 동교로46길 7,126.9253539,37.56270504
MA0101202301A0045136,핫메스hotmess,,I2,음식,I212,비알코올 ,I21201,카페,커피 전문점,서울특별시,마포구,연남동,연남동,서울특별시 마포구 연남동 257-18,서울특별시 마포구 동교로29길,서울특별시 마포구 동교로29길 48,126.9227646,37.56251926
MA0101202302A0070317,엘렌스,,I2,음식,I212,비알코올 ,I21201,카페,커피 전문점,서울특별시,마포구,연남동,연남동,서울특별시 마포구 연남동 241-49,서울특별시 마포구 성미산로29길,서울특별시 마포구 성미산로29길 40-8,126.9220534,37.56553124
MA0101202301A0000768,카페바우연남점,,I2,음식,I212,비알코올 ,I21201,카페,커피 전문점,서울특별시,마포구,연남동,연남동,서울특별시 마포구 연남동 256-7,서울특별시 마포구 성미산로26길,서울특별시 마포구 성미산로26길 26,126.9228187,37.56269095
MA0101202302A0070985,멜롭스,,I2,음식,I212,비알코올 ,I21201,카페,커피 전문점,서울특별시,마포구,연남동,연남동,서울특별시 마포구 연남동 487-257,서울특별시 마포구 월드컵북로16길,서울특별시 마포구 월드컵북로16길 54,126.9173572,37.56309151
